from,to,year
1,14,1957
1,15,1957
1,21,1957
1,54,1957
1,55,1957
2,21,1957
2,22,1957
3,9,1957
3,15,1957
4,5,1957
4,18,1957
4,19,1957
4,43,1957
5,19,1957
5,43,1957
6,13,1957
6,20,1957
6,22,1957
7,17,1957
8,14,1957
8,17,1957
9,12,1957
9,20,1957
9,21,1957
9,22,1957
9,51,1957
11,19,1957
11,50,1957
11,52,1957
11,53,1957
12,20,1957
12,21,1957
12,22,1957
13,17,1957
13,20,1957
13,21,1957
13,22,1957
14,21,1957
14,22,1957
15,20,1957
16,18,1957
16,41,1957
16,43,1957
17,7,1957
17,8,1957
18,11,1957
18,16,1957
18,19,1957
19,4,1957
19,11,1957
19,16,1957
19,18,1957
19,27,1957
20,6,1957
20,12,1957
20,21,1957
20,22,1957
20,38,1957
21,22,1957
21,51,1957
21,54,1957
21,55,1957
22,20,1957
22,21,1957
22,38,1957
22,51,1957
23,40,1957
23,43,1957
23,50,1957
23,52,1957
23,53,1957
23,60,1957
23,62,1957
23,65,1957
23,68,1957
24,51,1957
26,32,1957
26,35,1957
26,36,1957
26,40,1957
26,41,1957
26,42,1957
27,18,1957
27,37,1957
27,40,1957
28,38,1957
28,39,1957
29,13,1957
29,38,1957
30,35,1957
30,48,1957
31,10,1957
31,37,1957
31,40,1957
32,26,1957
32,33,1957
32,43,1957
32,62,1957
33,36,1957
33,41,1957
33,42,1957
33,43,1957
34,39,1957
34,46,1957
35,30,1957
35,48,1957
36,32,1957
36,33,1957
36,42,1957
36,43,1957
37,31,1957
37,40,1957
38,21,1957
38,22,1957
38,51,1957
38,55,1957
39,28,1957
39,29,1957
39,34,1957
39,46,1957
39,59,1957
40,35,1957
40,37,1957
41,16,1957
41,42,1957
41,43,1957
41,68,1957
42,36,1957
42,41,1957
42,43,1957
42,68,1957
43,41,1957
43,42,1957
43,68,1957
44,47,1957
45,49,1957
45,54,1957
45,55,1957
45,57,1957
45,70,1957
46,34,1957
46,39,1957
46,54,1957
46,59,1957
47,44,1957
47,48,1957
47,52,1957
47,53,1957
48,30,1957
48,50,1957
48,52,1957
48,53,1957
49,54,1957
49,55,1957
49,70,1957
49,71,1957
50,47,1957
50,52,1957
50,53,1957
50,68,1957
51,21,1957
51,22,1957
51,70,1957
52,47,1957
52,48,1957
52,50,1957
52,53,1957
52,68,1957
53,50,1957
53,52,1957
54,45,1957
54,49,1957
54,55,1957
54,63,1957
54,69,1957
54,71,1957
55,45,1957
55,49,1957
55,54,1957
56,64,1957
56,70,1957
56,71,1957
57,45,1957
57,49,1957
57,55,1957
57,66,1957
57,70,1957
57,71,1957
58,61,1957
58,65,1957
59,39,1957
59,54,1957
59,55,1957
60,58,1957
60,61,1957
60,62,1957
60,65,1957
61,58,1957
61,65,1957
62,60,1957
62,65,1957
63,66,1957
63,67,1957
63,69,1957
63,70,1957
63,71,1957
64,66,1957
64,67,1957
64,69,1957
64,71,1957
65,60,1957
65,62,1957
65,68,1957
66,64,1957
66,67,1957
66,69,1957
66,70,1957
66,71,1957
67,63,1957
67,64,1957
67,66,1957
67,69,1957
67,71,1957
68,31,1957
68,61,1957
68,62,1957
68,65,1957
69,63,1957
69,64,1957
69,66,1957
69,67,1957
69,71,1957
70,63,1957
70,66,1957
70,67,1957
70,69,1957
70,71,1957
71,63,1957
71,64,1957
71,66,1957
71,67,1957
71,69,1957
71,70,1957
1,15,1958
1,21,1958
1,22,1958
2,9,1958
2,22,1958
4,5,1958
4,11,1958
4,16,1958
4,19,1958
4,43,1958
5,4,1958
5,19,1958
5,43,1958
6,8,1958
6,13,1958
6,17,1958
6,20,1958
6,29,1958
7,13,1958
7,17,1958
7,21,1958
8,13,1958
8,14,1958
8,28,1958
9,20,1958
9,21,1958
9,22,1958
9,70,1958
10,18,1958
10,19,1958
11,4,1958
11,16,1958
11,19,1958
11,33,1958
11,42,1958
12,20,1958
12,21,1958
12,22,1958
13,5,1958
13,6,1958
13,17,1958
13,20,1958
13,22,1958
14,13,1958
14,22,1958
15,1,1958
15,12,1958
15,20,1958
15,21,1958
16,41,1958
16,62,1958
16,68,1958
17,1,1958
17,7,1958
17,8,1958
17,13,1958
17,22,1958
18,19,1958
19,4,1958
19,5,1958
19,9,1958
19,11,1958
19,12,1958
20,9,1958
20,12,1958
20,19,1958
20,21,1958
20,22,1958
21,20,1958
21,22,1958
21,38,1958
21,51,1958
21,55,1958
22,20,1958
22,21,1958
22,28,1958
22,38,1958
22,51,1958
23,52,1958
23,53,1958
23,63,1958
23,69,1958
23,71,1958
24,28,1958
26,30,1958
26,32,1958
26,34,1958
26,36,1958
26,39,1958
27,5,1958
27,35,1958
27,37,1958
27,40,1958
27,43,1958
28,22,1958
28,38,1958
28,39,1958
29,33,1958
29,36,1958
29,42,1958
30,35,1958
30,37,1958
31,23,1958
31,37,1958
31,40,1958
31,50,1958
32,29,1958
32,33,1958
32,36,1958
32,38,1958
32,39,1958
32,43,1958
33,36,1958
33,41,1958
33,42,1958
33,43,1958
34,46,1958
36,29,1958
36,33,1958
36,41,1958
36,42,1958
36,43,1958
37,27,1958
37,30,1958
37,40,1958
38,21,1958
38,22,1958
38,28,1958
38,39,1958
39,28,1958
39,38,1958
39,46,1958
39,59,1958
39,70,1958
40,27,1958
40,30,1958
40,37,1958
41,16,1958
41,33,1958
41,42,1958
41,43,1958
41,68,1958
42,29,1958
42,41,1958
42,43,1958
43,33,1958
43,41,1958
43,42,1958
43,68,1958
44,47,1958
44,50,1958
45,49,1958
45,51,1958
45,54,1958
45,55,1958
45,57,1958
46,39,1958
46,49,1958
46,51,1958
46,54,1958
46,55,1958
47,52,1958
48,45,1958
48,49,1958
48,51,1958
48,54,1958
48,55,1958
49,47,1958
49,51,1958
49,52,1958
49,53,1958
49,55,1958
50,23,1958
50,52,1958
50,53,1958
51,21,1958
51,45,1958
51,48,1958
51,54,1958
51,55,1958
52,49,1958
52,53,1958
52,55,1958
53,52,1958
53,55,1958
53,63,1958
53,70,1958
54,45,1958
54,49,1958
54,51,1958
54,55,1958
54,70,1958
55,45,1958
55,49,1958
55,52,1958
55,53,1958
55,54,1958
56,62,1958
56,67,1958
56,68,1958
56,70,1958
56,71,1958
57,49,1958
57,51,1958
57,66,1958
57,70,1958
58,61,1958
58,65,1958
59,39,1958
59,48,1958
59,49,1958
59,56,1958
59,68,1958
60,58,1958
60,61,1958
60,62,1958
60,70,1958
60,71,1958
61,58,1958
61,65,1958
61,66,1958
62,60,1958
62,70,1958
63,66,1958
63,67,1958
63,69,1958
63,70,1958
63,71,1958
64,66,1958
64,70,1958
64,71,1958
65,67,1958
65,68,1958
65,70,1958
65,71,1958
66,63,1958
66,64,1958
66,67,1958
66,70,1958
66,71,1958
67,60,1958
67,63,1958
67,66,1958
67,70,1958
67,71,1958
68,62,1958
68,70,1958
68,71,1958
69,63,1958
69,64,1958
69,66,1958
69,67,1958
69,71,1958
70,63,1958
70,66,1958
70,67,1958
70,69,1958
70,71,1958
71,56,1958
71,62,1958
71,66,1958
71,67,1958
71,70,1958
